state,zip,plan_letter,carrier_name,rate_type,gender,age,monthly_premium
NC,27713,G,Lumos Insurance,ATTAINED_AGE,M,75,197.84
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,M,75,200
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,M,75,205.42
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,M,75,210.3
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,M,75,213.67
NC,27713,G,WoodmenLife,ATTAINED_AGE,M,75,213.8
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,M,75,217.28
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,M,75,223.91
NC,27713,G,AFLAC,ATTAINED_AGE,M,75,225.14
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,M,75,227
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,M,75,234.74
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,M,75,239.64
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,M,75,240.04
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,M,75,242.71
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,M,75,242.81
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,M,75,251.79
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,M,75,259.73
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,M,75,263.21
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,M,75,265.03
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,M,75,265.25
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,M,75,274.33
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,M,75,289
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,M,75,300.75
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,M,75,305.05
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,M,75,315.44
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,M,75,323.5
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,M,75,371.29
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,M,75,412.75
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,M,75,429.44
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,M,75,461.82
NC,27713,G,United American Insurance Company,ATTAINED_AGE,M,75,500
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,M,75,736.44
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,F,75,143.52
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,F,75,168.63
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,F,75,168.91
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,F,75,170.15
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,F,75,176.23
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,F,75,176.92
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,F,75,178.95
NC,27713,G,Lumos Insurance,ATTAINED_AGE,F,75,179.79
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,F,75,182.87
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,F,75,185.8
NC,27713,G,WoodmenLife,ATTAINED_AGE,F,75,185.92
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,F,75,188.94
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,F,75,194.7
NC,27713,G,AFLAC,ATTAINED_AGE,F,75,196.55
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,F,75,204.12
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,F,75,211
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,F,75,211.14
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,F,75,214.79
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,F,75,217.86
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,F,75,223.09
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,F,75,225.83
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,F,75,228.9
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,F,75,230.46
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,F,75,234.76
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,F,75,238.55
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,F,75,240.04
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,F,75,255.51
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,F,75,270.67
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,F,75,274.3
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,F,75,276
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,F,75,282.75
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,F,75,334.16
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,F,75,358.97
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,F,75,380.65
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,F,75,412.34
NC,27713,G,United American Insurance Company,ATTAINED_AGE,F,75,435
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,F,75,652.6
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,M,80,195.28
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,M,80,223.63
NC,27713,G,Lumos Insurance,ATTAINED_AGE,M,80,229.27
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,M,80,229.56
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,M,80,230.23
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,M,80,242.69
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,M,80,243.5
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,M,80,243.56
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,M,80,252.52
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,M,80,260
